Incident_ID,Open_Time,Handle_Time_hrs,CI_Name_enc,CI_Cat_enc,CI_Subcat_enc,Closure_Code_enc,Priority_enc,Impact_enc,Urgency_enc,Resolution_SLA_Breach,Has_KB
IM0000004,2012-05-02 13:32:00,8256.3,2741,12,58,6,3,3,3,True,1
IM0000005,2012-12-03 15:44:00,1700.8666666666666,2863,2,58,10,2,2,2,True,1
IM0000006,,,990,2,10,4,5,5,2,False,1
IM0000011,,,2863,2,58,5,3,3,3,False,1
IM0000012,2012-10-08 11:01:00,7370.9,2863,2,58,6,3,3,3,True,1
IM0000013,2012-10-08 11:27:00,7370.45,2863,2,58,6,3,3,3,True,1
IM0000014,,,2841,2,58,11,3,3,3,False,1
IM0000015,,,2863,2,58,6,3,3,3,False,1
IM0000017,,,2863,2,58,6,5,5,2,False,1
IM0000018,2012-03-09 16:04:00,12478.483333333334,2841,2,58,4,3,3,3,True,1
IM0000019,,,2863,2,58,10,3,3,3,False,1
IM0000020,2012-01-10 10:49:00,13899.483333333334,2863,2,58,10,3,3,3,True,1
IM0000021,2012-02-10 12:12:00,18765.433333333334,2841,2,58,10,3,3,3,True,1
IM0000022,,,2863,2,58,10,3,3,3,False,1
IM0000023,,,2532,2,45,0,2,2,2,False,1
IM0000024,,,2841,2,58,6,3,3,3,False,1
IM0000028,,,2755,12,58,6,3,3,3,False,1
IM0000031,2012-05-12 15:17:00,,2751,12,58,11,3,3,3,False,1
IM0000033,2012-07-12 14:34:00,,1050,2,10,6,2,2,2,False,1
IM0000034,2012-10-12 14:44:00,,2841,2,58,6,4,4,4,False,1
IM0000035,,,2863,2,58,9,3,3,3,False,1
IM0000038,,,2857,2,58,10,3,3,3,False,1
IM0000041,,,2863,2,58,6,3,3,3,False,1
IM0000042,,,2863,2,58,4,3,3,3,False,1
IM0000045,,,2751,12,58,10,3,3,3,False,1
IM0000046,,,2751,12,58,6,3,3,3,False,1
IM0000047,2013-04-02 14:38:00,7320.733333333334,2841,2,58,6,3,3,3,True,1
IM0000048,2013-06-02 14:07:00,,2514,2,45,4,4,4,4,False,1
IM0000049,2013-08-02 10:47:00,,2487,2,45,6,4,4,4,False,1
IM0000053,,,2376,2,45,6,4,4,4,False,1
IM0000055,,,2863,2,58,6,3,3,3,False,1
IM0000056,,,2863,2,58,6,3,3,3,False,1
IM0000057,,,2714,12,58,6,3,3,3,False,1
IM0000058,,,2863,2,58,6,3,3,3,False,1
IM0000059,,,2863,2,58,6,3,3,3,False,1
IM0000060,,,2869,2,58,4,3,3,3,False,1
IM0000061,2013-01-03 10:19:00,,2713,12,58,10,4,4,4,False,1
IM0000062,2013-04-03 12:31:00,3123.0333333333333,2741,12,58,4,3,3,3,True,1
IM0000064,2013-05-03 13:58:00,2401.616666666667,2863,2,58,10,2,2,2,True,1
IM0000067,2013-11-03 09:08:00,-1291.45,2397,2,45,6,4,4,4,False,1
IM0000068,2013-12-03 09:54:00,-2730.3333333333335,2741,12,58,4,3,3,3,False,1
IM0000071,,,2863,2,58,6,3,3,3,False,1
IM0000073,,,2269,2,42,6,4,4,4,False,1
IM0000074,,,2741,12,58,6,2,2,2,False,1
IM0000075,,,2725,12,58,0,3,3,3,False,1
IM0000078,2013-03-04 12:11:00,,2268,2,42,10,4,4,4,False,1
IM0000080,2013-04-04 12:33:00,,2267,2,42,6,3,3,3,False,1
IM0000081,2013-05-04 10:17:00,,2454,2,45,6,2,3,2,False,1
IM0000082,2013-05-04 10:19:00,193.68333333333334,2869,2,58,6,3,3,3,True,1
IM0000083,2013-09-04 12:49:00,-573.2166666666667,2863,2,58,10,3,3,3,False,1
IM0000084,2013-10-04 13:20:00,-1293.65,2841,2,58,4,3,3,3,False,1
IM0000085,2013-10-04 15:13:00,-1295.45,2863,2,58,4,2,2,3,False,1
IM0000088,,,2268,2,42,6,4,4,4,False,1
IM0000089,,,17,2,4,10,3,3,3,False,1
IM0000090,,,2289,2,45,11,4,4,4,False,1
IM0000091,,,2346,2,45,6,3,3,3,False,1
IM0000092,,,2487,2,45,6,4,4,4,False,1
IM0000094,,,2661,12,3,10,3,3,3,False,1
IM0000095,,,2654,2,47,10,3,3,3,False,1
IM0000098,,,2869,2,58,6,3,3,4,False,1
IM0000099,,,2567,2,45,6,2,2,2,False,1
IM0000100,,,2863,2,58,6,3,3,3,False,1
IM0000101,,,2857,2,58,1,3,3,3,False,1
IM0000103,,,2863,2,58,6,3,3,3,False,1
IM0000104,2013-01-05 11:47:00,8161.783333333334,2863,2,58,6,3,3,3,True,1
IM0000105,2013-03-05 12:00:00,13082.45,2863,2,58,10,4,4,4,True,1
IM0000106,2013-06-05 10:11:00,4539.4,2741,12,58,6,3,3,3,True,1
IM0000107,2013-06-05 13:50:00,4536.216666666666,2863,2,58,11,3,3,3,True,1
IM0000109,2013-07-05 11:44:00,,2450,2,45,6,3,3,3,False,1
IM0000110,2013-07-05 11:44:00,8662.1,2285,2,45,4,3,3,3,True,1
IM0000111,2013-07-05 14:04:00,-1298.75,2863,2,58,6,3,3,3,False,1
IM0000112,2013-07-05 15:04:00,,17,2,4,6,4,4,4,False,1
IM0000113,2013-07-05 15:12:00,-1299.95,2863,2,58,6,3,3,3,False,1
IM0000114,2013-10-05 11:04:00,,2376,2,45,6,4,4,4,False,1
IM0000115,,,2863,2,58,6,2,2,2,False,1
IM0000117,,,2823,2,58,10,3,3,3,False,1
IM0000120,,,2556,2,45,11,2,2,2,False,1
IM0000121,,,2863,2,58,6,3,3,3,False,1
IM0000122,,,2584,2,45,6,3,3,3,False,1
IM0000123,,,2863,2,58,6,4,4,4,False,1
IM0000124,,,2863,2,58,11,3,3,3,False,1
IM0000125,,,2349,2,45,6,2,2,2,False,1
IM0000126,,,2863,2,58,6,3,3,3,False,1
IM0000127,,,2567,2,45,6,2,2,2,False,1
IM0000128,,,2846,2,58,6,3,3,3,False,1
IM0000129,,,2390,2,45,10,3,3,3,False,1
IM0000130,,,2741,12,58,6,3,3,3,False,1
IM0000131,,,2458,2,45,4,4,4,4,False,1
IM0000132,,,2267,2,42,10,4,4,4,False,1
IM0000133,,,2376,2,45,6,4,4,4,False,1
IM0000134,,,2841,2,58,6,2,2,2,False,1
IM0000135,2013-03-06 10:09:00,6723.633333333333,2741,12,58,6,3,3,3,True,1
IM0000136,2013-04-06 09:25:00,5980.216666666666,2841,2,58,6,3,3,3,True,1
IM0000137,2013-04-06 10:00:00,5979.7,2863,2,58,6,3,3,3,True,1
IM0000139,2013-04-06 16:13:00,,2289,2,45,11,3,3,3,False,1
IM0000140,2013-05-06 08:24:00,,2758,12,58,10,4,4,4,False,1
IM0000142,2013-06-06 08:54:00,,2268,2,42,8,4,4,4,False,1
IM0000143,2013-06-06 11:14:00,-1316.3333333333333,2584,2,45,5,3,3,3,False,1
IM0000145,2013-10-06 08:53:00,,2869,2,58,11,3,3,4,False,1
IM0000146,2013-10-06 13:00:00,,2654,2,47,6,2,2,2,False,1
IM0000147,2013-10-06 16:33:00,1581.75,2841,2,58,4,3,3,3,True,1
IM0000148,2013-10-06 16:44:00,1580.9666666666667,2863,2,58,6,3,3,3,True,1
IM0000149,2013-11-06 10:28:00,,2863,2,58,10,3,3,3,False,1
IM0000151,2013-11-06 16:17:00,,2567,2,45,6,5,5,2,False,1
IM0000152,2013-12-06 16:48:00,117.28333333333333,2863,2,58,6,3,3,3,True,1
IM0000153,2013-12-06 14:57:00,118.78333333333333,2863,2,58,6,3,3,3,True,1
IM0000154,,,2730,12,58,11,3,3,3,False,1
IM0000155,,,2567,2,45,6,2,2,2,False,1
IM0000156,,,2267,2,42,6,4,4,4,False,1
IM0000157,,,2584,2,45,10,4,4,4,False,1
IM0000158,,,2863,2,58,6,2,2,2,False,1
IM0000159,,,2841,2,58,6,3,3,3,False,1
IM0000160,,,2863,2,58,6,4,4,4,False,1
IM0000161,,,2863,2,58,10,3,3,3,False,1
IM0000162,,,2839,2,58,10,4,4,4,False,1
IM0000163,,,2979,4,59,10,3,3,3,False,1
IM0000164,,,2818,2,58,4,4,4,4,False,1
IM0000166,,,2863,2,58,6,3,3,3,False,1
IM0000167,,,2863,2,58,6,3,3,3,False,1
IM0000168,,,2654,2,47,10,4,4,4,False,1
IM0000170,,,2863,2,58,6,3,3,3,False,1
IM0000171,,,2741,12,58,10,2,2,2,False,1
IM0000172,,,2863,2,58,6,3,3,3,False,1
IM0000173,,,2567,2,45,10,2,2,2,False,1
IM0000174,,,2289,2,45,10,4,4,4,False,1
IM0000175,,,2863,2,58,4,3,3,3,False,1
IM0000176,,,2679,12,45,11,2,2,2,False,1
IM0000177,2013-01-07 11:30:00,8114.316666666667,2863,2,58,6,3,3,3,True,1
IM0000178,2013-01-07 14:25:00,,2863,2,58,10,3,3,3,False,1
IM0000179,2013-02-07 11:22:00,,2751,12,58,10,3,3,3,False,1
IM0000180,2013-03-07 14:45:00,6695.933333333333,2863,2,58,6,3,3,3,True,1
IM0000181,2013-04-07 10:06:00,,2455,2,45,5,3,3,3,False,1
IM0000182,2013-04-07 10:01:00,-1345.85,2751,12,58,10,4,4,4,False,1
IM0000183,2013-04-07 15:27:00,-2086.983333333333,2841,2,58,6,4,4,4,False,1
IM0000184,2013-05-07 13:35:00,,2654,2,47,5,3,3,3,False,1
IM0000185,2013-08-07 09:13:00,-2802.8,2654,2,47,6,2,2,2,False,1
IM0000186,2013-08-07 09:42:00,,2654,2,47,10,4,4,4,False,1
IM0000187,2013-08-07 11:29:00,,2487,2,45,6,3,3,3,False,1
IM0000188,2013-08-07 15:49:00,,20,2,4,11,3,3,3,False,1
IM0000190,2013-09-07 12:04:00,-675.4,2537,2,45,10,3,3,3,False,1
IM0000192,2013-09-07 15:43:00,-3583.0666666666666,2869,2,58,4,4,4,4,False,1
IM0000193,2013-09-07 16:18:00,118.66666666666667,2567,2,45,6,2,2,2,True,1
IM0000194,2013-10-07 10:59:00,,2817,2,58,10,4,4,4,False,1
IM0000195,2013-10-07 13:57:00,,2654,2,47,10,3,3,3,False,1
IM0000196,2013-11-07 09:28:00,820.5833333333334,2863,2,58,6,3,3,3,True,1
IM0000197,2013-11-07 11:20:00,2736.233333333333,2863,2,58,4,3,3,3,True,1
IM0000198,2013-11-07 10:56:00,,2741,12,58,10,3,3,3,False,1
IM0000199,2013-11-07 11:48:00,-1340.9833333333333,2567,2,45,6,5,5,2,False,1
IM0000200,2013-11-07 12:01:00,818.1166666666667,2863,2,58,6,2,2,2,True,1
IM0000201,2013-11-07 15:21:00,-7229.166666666667,2741,12,58,10,3,3,3,False,1
IM0000202,2013-11-07 16:08:00,-1393.1333333333334,2567,2,45,6,2,2,2,False,1
IM0000204,2013-12-07 08:15:00,-2105.9166666666665,2567,2,45,6,2,2,2,False,1
IM0000205,2013-12-07 09:07:00,-2058.35,2567,2,45,6,5,5,2,False,1
IM0000206,2013-12-07 14:13:00,95.96666666666667,2841,2,58,4,3,3,3,True,1
IM0000207,2013-12-07 15:11:00,,2741,12,58,9,3,3,3,False,1
IM0000208,,,2376,2,45,6,4,4,4,False,1
IM0000209,,,2863,2,58,6,2,2,2,False,1
IM0000210,,,2751,12,58,11,3,3,3,False,1
IM0000211,,,2869,2,58,6,3,3,3,False,1
IM0000212,,,2538,2,45,10,3,3,3,False,1
IM0000213,,,2841,2,58,6,4,4,4,False,1
IM0000214,,,2567,2,45,10,2,2,2,False,1
IM0000215,,,2510,2,45,11,2,2,2,False,1
IM0000216,,,2567,2,45,6,2,2,2,False,1
IM0000217,,,2863,2,58,6,3,3,3,False,1
IM0000218,,,2567,2,45,6,3,3,3,False,1
IM0000219,,,2567,2,45,6,5,5,2,False,1
IM0000220,,,17,2,4,10,2,3,2,False,1
IM0000221,,,2863,2,58,6,3,3,3,False,1
IM0000222,,,2863,2,58,6,3,3,3,False,1
IM0000223,,,1709,4,21,12,4,4,4,False,1
IM0000224,,,2758,12,58,6,4,4,4,False,1
IM0000225,,,2863,2,58,10,3,3,3,False,1
IM0000227,,,2863,2,58,4,2,2,2,False,1
IM0000228,,,2869,2,58,11,3,3,3,False,1
IM0000229,,,1031,2,10,10,4,4,4,False,1
IM0000230,,,2841,2,58,6,3,3,3,False,1
IM0000231,,,2741,12,58,6,3,3,3,False,1
IM0000232,,,2863,2,58,6,3,3,3,False,1
IM0000233,,,2455,2,45,0,3,3,3,False,1
IM0000234,,,2567,2,45,6,2,2,2,False,1
IM0000235,,,2863,2,58,6,3,3,3,False,1
IM0000236,,,2863,2,58,11,2,2,2,False,1
IM0000237,,,2487,2,45,6,5,5,2,False,1
IM0000238,,,2863,2,58,10,4,4,4,False,1
IM0000239,,,2863,2,58,6,3,3,3,False,1
IM0000240,,,2863,2,58,6,3,3,3,False,1
IM0000241,,,2863,2,58,4,3,3,3,False,1
IM0000242,,,2841,2,58,11,3,3,3,False,1
IM0000243,,,2268,2,42,6,4,4,4,False,1
IM0000245,,,993,2,10,10,4,4,4,False,1
IM0000246,,,2863,2,58,6,3,3,3,False,1
IM0000247,,,2863,2,58,4,3,3,3,False,1
IM0000248,,,17,2,4,6,4,4,4,False,1
IM0000249,,,1884,4,21,1,4,4,4,False,1
IM0000250,,,2863,2,58,6,3,3,3,False,1
IM0000251,,,2552,2,45,6,4,4,4,False,1
IM0000252,,,2841,2,58,6,3,3,3,False,1
IM0000253,,,2552,2,45,2,3,3,3,False,1
IM0000254,,,2268,2,42,6,4,4,4,False,1
IM0000256,2013-01-08 11:56:00,839.6833333333333,2455,2,45,10,3,3,3,True,1
IM0000257,2013-01-08 13:26:00,,2879,2,58,10,3,3,3,False,1
